Family-ID,UID,Role,RUCC,NIH,age,gender,ethnicity,VR,education,income,Scenario,Video-Type,Question,Score
42,1,Child,1,1,7,Male,White or Caucasian,No,,,Edu,D,1,5
42,1,Child,1,1,7,Male,White or Caucasian,No,,,Edu,D,2,3
42,1,Child,1,1,7,Male,White or Caucasian,No,,,Edu,D,3,1
21,3,Child,1,1,8,Male,White or Caucasian,No,,,Edu,D,1,1
21,3,Child,1,1,8,Male,White or Caucasian,No,,,Edu,D,2,1
21,3,Child,1,1,8,Male,White or Caucasian,No,,,Edu,D,3,3
21,4,Child,1,1,11,Female,White or Caucasian,No,,,Edu,D,1,1
21,4,Child,1,1,11,Female,White or Caucasian,No,,,Edu,D,2,3
21,4,Child,1,1,11,Female,White or Caucasian,No,,,Edu,D,3,3
9,5,Child,1,1,12,Female,White or Caucasian,Yes,,,Edu,D,1,3
9,5,Child,1,1,12,Female,White or Caucasian,Yes,,,Edu,D,2,5
9,5,Child,1,1,12,Female,White or Caucasian,Yes,,,Edu,D,3,3
43,8,Child,1,1,8,Female,Other,Yes,,,Edu,D,1,5
43,8,Child,1,1,8,Female,Other,Yes,,,Edu,D,2,3
43,8,Child,1,1,8,Female,Other,Yes,,,Edu,D,3,3
22,10,Child,1,2,11,Female,Other,No,,,Edu,D,1,1
22,10,Child,1,2,11,Female,Other,No,,,Edu,D,2,5
22,10,Child,1,2,11,Female,Other,No,,,Edu,D,3,3
10,12,Child,1,1,8,Female,White or Caucasian,No,,,Edu,D,1,3
10,12,Child,1,1,8,Female,White or Caucasian,No,,,Edu,D,2,3
10,12,Child,1,1,8,Female,White or Caucasian,No,,,Edu,D,3,3
13,14,Child,1,2,8,Female,White or Caucasian,No,,,Edu,D,1,3
13,14,Child,1,2,8,Female,White or Caucasian,No,,,Edu,D,2,3
13,14,Child,1,2,8,Female,White or Caucasian,No,,,Edu,D,3,1
11,16,Child,1,1,9,Female,White or Caucasian,Yes,,,Edu,D,1,3
11,16,Child,1,1,9,Female,White or Caucasian,Yes,,,Edu,D,2,5
11,16,Child,1,1,9,Female,White or Caucasian,Yes,,,Edu,D,3,1
23,17,Child,1,1,10,Female,White or Caucasian,Yes,,,Edu,D,1,3
23,17,Child,1,1,10,Female,White or Caucasian,Yes,,,Edu,D,2,1
23,17,Child,1,1,10,Female,White or Caucasian,Yes,,,Edu,D,3,3
23,18,Child,1,1,12,Female,White or Caucasian,Yes,,,Edu,D,1,5
23,18,Child,1,1,12,Female,White or Caucasian,Yes,,,Edu,D,2,1
23,18,Child,1,1,12,Female,White or Caucasian,Yes,,,Edu,D,3,5
44,21,Child,1,2,12,Female,White or Caucasian,No,,,Edu,D,1,3
44,21,Child,1,2,12,Female,White or Caucasian,No,,,Edu,D,2,3
44,21,Child,1,2,12,Female,White or Caucasian,No,,,Edu,D,3,3
24,23,Child,1,1,11,Female,Hispanic or Latinx,No,,,Edu,D,1,1
24,23,Child,1,1,11,Female,Hispanic or Latinx,No,,,Edu,D,2,5
24,23,Child,1,1,11,Female,Hispanic or Latinx,No,,,Edu,D,3,1
45,25,Child,1,2,10,Male,White or Caucasian,No,,,Edu,D,1,5
45,25,Child,1,2,10,Male,White or Caucasian,No,,,Edu,D,2,3
45,25,Child,1,2,10,Male,White or Caucasian,No,,,Edu,D,3,5
45,26,Child,1,2,12,Male,White or Caucasian,Yes,,,Edu,D,1,3
45,26,Child,1,2,12,Male,White or Caucasian,Yes,,,Edu,D,2,5
45,26,Child,1,2,12,Male,White or Caucasian,Yes,,,Edu,D,3,1
25,28,Child,4,5,13,Female,White or Caucasian,Yes,,,Edu,D,1,1
25,28,Child,4,5,13,Female,White or Caucasian,Yes,,,Edu,D,2,1
25,28,Child,4,5,13,Female,White or Caucasian,Yes,,,Edu,D,3,3
46,30,Child,1,1,12,Male,White or Caucasian,Yes,,,Edu,D,1,1
46,30,Child,1,1,12,Male,White or Caucasian,Yes,,,Edu,D,2,3
46,30,Child,1,1,12,Male,White or Caucasian,Yes,,,Edu,D,3,3
26,32,Child,1,1,11,Female,White or Caucasian,No,,,Edu,D,1,1
26,32,Child,1,1,11,Female,White or Caucasian,No,,,Edu,D,2,3
26,32,Child,1,1,11,Female,White or Caucasian,No,,,Edu,D,3,3
26,33,Child,1,1,13,Female,White or Caucasian,No,,,Edu,D,1,1
26,33,Child,1,1,13,Female,White or Caucasian,No,,,Edu,D,2,3
26,33,Child,1,1,13,Female,White or Caucasian,No,,,Edu,D,3,3
47,35,Child,1,1,8,Male,White or Caucasian,Yes,,,Edu,D,1,5
47,35,Child,1,1,8,Male,White or Caucasian,Yes,,,Edu,D,2,5
47,35,Child,1,1,8,Male,White or Caucasian,Yes,,,Edu,D,3,5
27,37,Child,1,2,10,Male,White or Caucasian,No,,,Edu,D,1,3
27,37,Child,1,2,10,Male,White or Caucasian,No,,,Edu,D,2,1
