Family ID,ID,Family-role,Age,Gender,VR-experience,Education,Income,RUCC,NIH,EU-Acceptance,EU-Concerns,EU-Benefits,ED-Acceptance,ED-Concerns,ED-Benefits,FD-Acceptance,FD-Concerns,FD-Benefits,FD-Acceptance,FD-Concerns,FD-Benefits,HU-Acceptance,HU-Concerns,HU-Benefits,HD-Acceptance,HD-Concerns,HD-Benefits,Interview-Data
1,1,Child,8,Female,Yes,,,1,1,3,1,5,3,1,5,5,1,5,5,3,3,,,,,,,1-1-2-Child 1.csv
2,2,Child,7,Male,No,,,1,2,5,1,3,1,3,3,1,5,1,5,3,5,,,,,,,2-2-1-Child 1.csv
3,3,Child,10,Male,Yes,,,6,6,5,3,5,3,3,3,5,3,3,3,3,3,,,,,,,3-3-3-Child 2.csv
3,4,Child,12,Male,Yes,,,6,6,5,3,5,5,3,5,,,,,,,3,3,5,1,5,3,3-3-2-Child 1.csv
4,5,Child,11,Male,No,,,1,2,3,1,3,3,1,5,3,3,3,3,1,3,,,,,,,4-4-1-Child 1.csv
5,6,Child,9,Male,Yes,,,8,6,3,5,3,5,3,5,5,3,5,3,5,5,,,,,,,5-5-2-Child 1.csv
6,7,Child,12,Male,Yes,,,1,1,5,1,5,5,1,5,,,,,,,5,5,5,3,3,5,6-6-2-Child 1.csv
6,8,Child,13,Male,Yes,,,1,1,5,1,3,3,3,5,,,,,,,3,3,3,3,5,3,6-6-3-Child 2.csv
7,9,Child,9,Female,No,,,1,2,3,5,1,1,3,5,1,5,3,3,5,1,,,,,,,38-7-3-Child 1.csv
7,10,Child,12,Male,Yes,,,1,2,5,3,3,5,3,5,3,1,5,3,1,5,,,,,,,7-7-1-Child 1.csv
8,11,Child,10,Male,Yes,,,1,1,3,1,3,3,3,3,3,1,5,3,3,1,,,,,,,8-8-2-Child 1.csv
9,12,Child,12,Female,Yes,,,1,1,5,3,5,3,5,3,3,3,1,3,5,1,,,,,,,9-9-1-Child 1.csv
10,13,Child,8,Female,No,,,1,1,3,3,5,3,3,3,,,,,,,,,,,,,
10,14,Child,11,Female,No,,,1,1,,,,,,,,,,,,,3,1,3,5,3,3,
11,15,Child,9,Female,Yes,,,1,1,5,3,5,3,5,1,,,,,,,5,3,3,3,5,1,11-11-2-Child 1.csv
